Data: 20/10/2023
Hora: 00:10

Tempo,RPM,Latitude,Longitude,Velocidade GPS,Velocidade Dianteira,Velocidade Traseira,Temperatura CVT
69207, 1390.0, -21.1368660000, -44.2652170000, 4.0, 0.0, 0.0, 0.0
69270, 1390.0, -21.1368660000, -44.2652170000, 4.0, 0.0, 0.0, 0.0
69334, 1390.0, -21.1368660000, -44.2652170000, 4.0, 0.0, 0.0, 0.0
69397, 1390.0, -21.1368660000, -44.2652170000, 4.0, 0.0, 0.0, 0.0
69460, 1363.0, -21.1368660000, -44.2652170000, 4.0, 0.0, 0.0, 0.0
69524, 1363.0, -21.1368660000, -44.2652170000, 4.0, 0.0, 0.0, 0.0
69588, 1363.0, -21.1368660000, -44.2652170000, 4.0, 0.0, 0.0, 0.0
69673, 1363.0, -21.1368660000, -44.2652170000, 4.0, 0.0, 0.0, 0.0
69876, 1382.0, -21.1368600000, -44.2652170000, 0.0, 0.0, 0.0, 0.0
70053, 1382.0, -21.1368600000, -44.2652170000, 0.0, 0.0, 0.0, 0.0
70117, 1382.0, -21.1368600000, -44.2652170000, 0.0, 0.0, 0.0, 0.0
70184, 1313.0, -21.1368600000, -44.2652170000, 0.0, 0.0, 0.0, 0.0
70248, 1313.0, -21.1368600000, -44.2652170000, 0.0, 0.0, 0.0, 0.0
70309, 1313.0, -21.1368600000, -44.2652170000, 0.0, 0.0, 0.0, 0.0
70376, 1313.0, -21.1368600000, -44.2652170000, 0.0, 0.0, 0.0, 0.0
70439, 2003.0, -21.1368600000, -44.2652170000, 0.0, 0.0, 0.0, 0.0
70502, 2003.0, -21.1368600000, -44.2652170000, 0.0, 0.0, 0.0, 0.0
70564, 2003.0, -21.1368600000, -44.2652170000, 0.0, 0.0, 0.0, 0.0
70650, 2003.0, -21.1368600000, -44.2652170000, 0.0, 0.0, 0.0, 0.0
70859, 1935.0, -21.1368710000, -44.2652240000, 2.0, 0.0, 0.0, 0.0
71037, 1875.0, -21.1368710000, -44.2652240000, 2.0, 0.0, 0.0, 0.0
71104, 1875.0, -21.1368710000, -44.2652240000, 2.0, 0.0, 0.0, 0.0
71165, 1875.0, -21.1368710000, -44.2652240000, 2.0, 0.0, 0.0, 0.0
71228, 1837.0, -21.1368710000, -44.2652240000, 2.0, 0.0, 0.0, 0.0
71293, 1837.0, -21.1368710000, -44.2652240000, 2.0, 0.0, 0.0, 0.0
71356, 1837.0, -21.1368710000, -44.2652240000, 2.0, 0.0, 0.0, 0.0
71418, 1837.0, -21.1368710000, -44.2652240000, 2.0, 0.0, 0.0, 0.0
71482, 1818.0, -21.1368710000, -44.2652240000, 2.0, 0.0, 0.0, 0.0
71547, 1818.0, -21.1368710000, -44.2652240000, 2.0, 0.0, 0.0, 0.0
